Id,Company,Symbol
1,3Comm Corp,COMS
2,4 Kids Entertainment Inc. ,KDE
3,724 Solutions Inc.,SVNX
4,Abbott Laboratories,ABT 
5,Abercrombie & Fitch Co.,ANF 
6,Adaptec Inc,ADPT
7,Adobe Systems Inc.,ADBE
8,Advanced Digital Information  ,ADIC 
9,Aeroflex Inc. ,ARXX 
10,Advanced Micro Devices,AMD
11,AES Corp ,AES 
12,Advent Software Inc.,ADVS 
13,Aetna Inc. ,AET
14,Abgenix Inc.,ABGX 
15,Affymetrix Inc.,AFFX
16,AFLAC Inc,AFL
17,Agilent Technologies Inc.,A
18,Akamai Technologies Inc.,AKAM
19,"Albertson's, Inc",ABS
20,Alcan Aluminium Ltd,AL
21,Alcoa Inc.,AA
22,Allegheny Technologies,ATI
23,"Allergan, Inc",AGN
24,Allied Waste Ind,AW
25,Allstate Corp,ALL
26,Alltel Corp,AT
27,Altera Corp,ALTR
28,Amazon.com Inc.,AMZN
29,Amer Electric Pwr,AEP
30,Amer Greetings Cl'A',AM
31,Amer Intl Group,AIG
32,Amer Power Conversion,APCC
33,Ameren Corp,AEE
34,American Eagle Outfitters Inc.  ,AEOS
35,AMR Corp,AMR
36,AmSouth Bancorp,ASO
37,Anadarko Petroleum,APC
38,Analog Devices Inc. ,ADI
39,Air Products & Chem,APD
40,Alberto-Culver Cl'B',ACV
41,Amerada Hess,AHC
42,American Express Company,AXP
43,Ameritrade Holding Corp.,AMTD
44,Amgen Inc,AMGN
45,Andrew Corp,ANDW
46,Andrx Corporation,ADRX
47,Anheuser-Busch Cos,BUD
48,AOL Time Warner,TWX
49, Aon Corp,AOC
50,Apache Corp,APA
51,Apple Computer Inc.,AAPL
52,Applebees International Inc.,APPB
53,Applied Materials Inc.,AMAT
54,Applied Micro Circuits Corp,AMCC
55,Archer-Daniels-Midland ,ADM
56,Ariad Pharmaceuticals Inc.,ARIA
57,Ariba Inc.,ARBA
58,Arrow Electronics Inc.,ARW
59,Ashland Inc,ASH
60,Ask Jeeves Inc.,ASKJ
61,AT&T Corp,T
62,AT&T Wireless Corp,AWE
63,"Autodesk, Inc",ADSK
64,Automatic Data Proc,ADP
65,AutoZone Inc,AZO
66,Avery Dennison Corp,AVY
67,Avista Corp,AVA
68,Avon Products Inc.,AVP
69,Baker Hughes Inc,BHI
70,Ball Corp,BLL
71,Bank of America,BAC
72,Bank of New York Inc.,BK
73,Bank One Corp,ONE
74,Bard (C.R.),BCR
75,Barnes & Noble Inc.,BKS
76,Barrick Gold,ABX
77,Bausch & Lomb Inc.,BOL
78,Baxter International,BAX
79,BB&T Corp,BBT
80,BCE Inc.,BCE
81,BEA Systems Inc.,BEAS
82,Bear Stearns Cos,BSC
83,"Becton, Dickinson",BDX
84,Bed Bath & Beyond Inc. ,BBBY
85,BellSouth Corp,BLS
86,Bemis Co,BMS
87,Best Buy Co. Inc,BBY
88,Big Lots Inc. ,BLI
89,"Biomet, Inc",BMET
